city and state,Quantity Ordered,Price Each,month,sales,minute,day,hour
" CA, Los Angeles",33289,5421435.23,208325,5452570.8,866638,469607,427444
" CA, San Francisco",50239,8211461.74,315520,8262203.91,1319477,702669,643265
" GA, Atlanta",16602,2779908.2,104794,2795498.58,442932,234837,214264
" MA, Boston",22528,3637409.77,141112,3661642.0100000002,590442,312376,288225
" ME, Portland",2750,447189.25,17144,449758.27,72856,38288,35211
" NY, New York City",27932,4635370.83,175741,4664317.43,733598,392706,357696
" OR, Portland",11303,1860558.22,70621,1870732.34,295533,159233,144421
" TX, Austin",11153,1809873.61,69829,1819581.75,289060,156782,141946
" TX, Dallas",16730,2752627.82,104620,2767975.4,435155,234435,214390
" WA, Seattle",16553,2733296.0100000002,104941,2747755.48,436368,229552,213292
