,0,1
0,"('iPhone', 'Lightning Charging Cable')",1005
1,"('Google Phone', 'USB-C Charging Cable')",987
2,"('iPhone', 'Wired Headphones')",447
3,"('Google Phone', 'Wired Headphones')",414
4,"('Vareebadd Phone', 'USB-C Charging Cable')",361
5,"('iPhone', 'Apple Airpods Headphones')",360
6,"('Google Phone', 'Bose SoundSport Headphones')",220
7,"('USB-C Charging Cable', 'Wired Headphones')",160
8,"('Vareebadd Phone', 'Wired Headphones')",143
9,"('Lightning Charging Cable', 'Wired Headphones')",92
